municipality,publication_date,series,distribution-place,address,telephone-number,distribution-time,longitude-latitude,longitude-latitude2,longitude-latitude3,longitude-latitude4,longitude-latitude5
三郷町,第12弾,2020/4/25,【平日】三郷町下水道課【土日祝】三郷町立図書館,奈良県生駒郡三郷町立野南３−１１−１３　三郷町立野汚水中継ポンプ場２階【土日祝】奈良県生駒郡三郷町勢野西1丁目4-4,電話：0745−73−0999【土日祝】電話:0745-33-3030,【平日】8:30～17:15ただし、年末年始（12/29〜1/3）はお休みです【土日祝】9:30～17:00ただし、毎週水曜日（祝日の場合を除く）等の図書館休館日、及び年末年始（12/29〜1/3）はお休みです詳しくは図書館カレンダーでご確認ください,135.68175 : 34.5856,,,,
斑鳩町,第3弾,2016/12/1,法隆寺iセンター,奈良県生駒郡斑鳩町法隆寺1-8-25,電話：0745-74-6800,8：30～18：00（年中無休）,135.7355 : 34.61031,,,,
田原本町,第7弾,2018/4/28,道の駅レスティ唐古・鍵,奈良県磯城郡田原本町大字唐古70-1,電話：0744-33-9170（問い合わせ先）田原本町上下水道部 下水道課電話：0744-34-2076,9：00～18：00（年中無休）,135.79808 : 34.5745,,,,
吉野町,第12弾,2020/4/25,吉野町観光案内所（近鉄吉野駅前）,奈良県吉野郡吉野町吉野山41-3,電話:0746-39-9237,9：00～16：00ただし、年末年始はお休みです,135.85939 : 34.35954,,,,
和歌山市,第2弾,2016/8/1,わかやま歴史館,和歌山県和歌山市1-3（和歌山城）,（問い合わせ先）和歌山市役所 下水道企画課電話：073-435-1093（平日9:00〜17:00）,9：00～17：00ただし、年末年始（12/29～12/31）はお休みです,135.1722 : 34.22746,,,,
橋本市,第6弾,2017/12/9,はしもと広域観光案内所,和歌山県橋本市古佐田1-5-9,電話：0736-33-3552,9：00～17：00ただし、毎週水曜日（祝日の場合はその翌日）、年末年始（6日間）はお休みです,135.61386 : 34.31741,,,,
御坊市,第10弾,2019/8/7,【平日】御坊市役所1階 みやこ姫ロビー【休日】御坊市役所1階 夜間休日窓口,和歌山県御坊市薗350番地2,電話：0738-22-4111（代表）【休日】（問い合わせ先）電話：0738-23-5591（直通）,【平日】8：30～17：15【休日】8：30～17：15,135.15306 : 33.89115,,,,
有田川町,第2弾,2016/8/1,有田川町観光案内所,和歌山県有田郡有田川町明王寺37-1,電話：0737-52-7345,8：00～17：00ただし、年末年始はお休みです,135.19684 : 34.05908,,,,
鳥取市,第6弾,2017/12/9,まちパル鳥取,鳥取県鳥取市末広温泉町160,電話：0857-36-3767,9：00～19：00(1/2・1/3は、10：00～15：00)ただし年末年始（12/31・1/1）はお休みです,134.22906 : 35.496,,,,
米子市,第04弾,2017/4/3,米子市観光センター,鳥取県米子市皆生温泉3-1-1,電話：0859-35-0175（問い合わせ先）米子市下水道部 整備課電話：0859-34-1301※【英語版】は以下の施設で配布しています。米子市国際観光案内所鳥取県米子市弥生町2　JR米子駅1F電話：0859-22-6317,9：00～18：00（年中無休）,133.36212 : 35.45658,,,,
倉吉市(A001),第13弾,2020/12/17,倉吉白壁土蔵群観光案内所,鳥取県倉吉市魚町2568-1,電話：0858-22-1200,8:30～17:00ただし、年末年始は短時間営業となります,133.82559 : 35.43142,,,,
倉吉市(B001),第14弾,2021/4/25,円形劇場くらよしフィギュアミュージアム,鳥取県倉吉市鍛冶町1丁目2971番地2,電話:0858-27-1200,9:00～17:00（年末年始は短時間営業の場合あり）※7～9月は9:00～18：00,133.81679 : 35.42899,,,,
岩美町,第4弾,2017/4/3,道の駅 きなんせ岩美,鳥取県岩美郡岩美町新井337-4,電話：0857-73-5155,9：00～19：00（年中無休）,134.33257 : 35.5658,,,,
琴浦町,第7弾,2018/4/28,道の駅 琴の浦 琴浦町観光協会,鳥取県東伯郡琴浦町別所1030-1,電話：0858-55-7811（問い合わせ先）琴浦町役場上下水道課 下水道係電話：0858-55-7807,9：00～17：15ただし、年末年始（12/30～1/2）はお休みです,133.6528 : 35.49403,,,,
北栄町,第2弾,2016/8/1,北栄町役場地域整備課,鳥取県東伯郡北栄町由良宿423-1　大栄庁舎２階,【平日】8：30～17：15ただし、土日祝日、年末年始（12/29～1/3）はお休みです,訪問の際は必ず在庫状況をご確認ください※現在、配布しておりません,133.75607 : 35.48907,,,,
江府町,第03弾,2016/12/1,道の駅 奥大山,鳥取県日野郡江府町大字佐川908-3,電話：0859-75-3648,9：00～17：00ただし、年末年始と棚卸日はお休みです,133.48157 : 35.30185,,,,
島根県(流域下水道),第13弾,2020/12/17,出雲観光案内所,島根県出雲市駅北町11,電話：0853-30-6015,9：00～13：00、14：00～17：00,132.75656 : 35.36105,,,,
松江市,第20弾,2023/7/28,松江堀川地ビール館,島根県松江市黒田町509-1,電話:0852-55-8877（問合せ先）松江市上下水道局事業推進課電話:0852-55-4896,9:30～17:00　年中無休,133.04712 : 35.47842,,,,
浜田市(A001),第08弾,2018/8/11,一般社団法人浜田市観光協会,島根県浜田市浅井町777-35（JR浜田駅2階）,電話：0855-24-1085※年末年始（12/29～1/3）は下記で配布します浜田市観光協会特産品販売所（ＪＲ浜田駅1階）電話：0855-28-7133,9:00～17:45(12/30～31)　9:00～17:00(1/1)　12:00～17:00,132.0878 : 34.90325,,,,
浜田市(B001),第19弾,2023/4/28,旭温泉　あさひ荘,島根県浜田市旭町木田954-3,電話:0855-45-0321,9：00～20：00ただし、火曜日はお休みです,132.27193 : 34.88811,,,,
出雲市,第11弾,2019/12/14,日御碕ビジターセンター,島根県出雲市大社町日御碕1089-37,電話：0853-54-5400(問合せ先)出雲市観光交流部部観光課電話：0853-21-6588,9:00～17:00年中無休,132.65585 : 35.42509,,,,
益田市,第10弾,2019/8/7,一般社団法人益田市観光協会,島根県益田市駅前町17-2,電話：0856-22-7120,9:00～17:30ただし、年末年始（12/29～1/3）はお休みです,131.83969 : 34.67733,,,,
大田市,第10弾,2019/8/7,（一社）大田市観光協会,島根県大田市仁摩町大国42-1（道の駅「ごいせ仁摩」内　観光案内所）,電話:0854-88-9950（問い合わせ先）大田市上下水道部下水道課電話：0854-83-8116,9：00～17：00ただし年末年始（12/30-1/3）はお休みです,132.42215 : 35.11993,,,,
安来市,第4弾,2017/4/3,（一社）安来市観光協会,島根県安来市安来町2093-3（観光交流プラザ内）,電話：0854-23-7667,9：00～18：00ただし、年末年始（12/31～1/1）はお休みです,133.25919 : 35.42719,,,,
江津市,第12弾,2020/4/25,江津市観光協会,島根県江津市江津町1518-1,電話:0855-52-0534,9：00～17：00ただし、毎週火曜日と年末年始(12/29～1/3)はお休みです,132.22154 : 35.01137,,,,
雲南市,第12弾,2020/4/25,雲南市観光協会,島根県雲南市木次町里方26番地1（JR木次駅内）,電話:0854-42-9770,9：00～17：00,132.90424 : 35.306,,,,
津和野町,第10弾,2019/8/7,（一社）津和野町観光協会,島根県鹿足郡津和野町後田イ71-2,電話：0856-72-1771,9:00～17:00,131.77406 : 34.47356,,,,
吉賀町,第11弾,2019/12/14,道の駅むいかいち温泉ゆらら,島根県鹿足郡吉賀町有飯225-2,電話：0856-77-3001(問合せ先)吉賀町役場建設水道課電話：0856-79-2212,8：30～18：00ただし、水曜日はお休みです,131.94495 : 34.35355,,,,
岡山市,第1弾,2016/4/1,岡山市ももたろう観光センター,岡山県岡山市北区駅元町1-1　岡山駅構内,電話：086-222-2912,9：00～20：00（年中無休）,133.91801 : 34.66561,,,,
倉敷市（A001）,第01弾,2016/4/1,倉敷館観光案内所,岡山県倉敷市中央1-4-8,電話：086-422-0542,9：00～18：00（年中無休）ただし、年末年始は変更の場合あり,133.77116 : 34.59547,,,,
倉敷市（B001）,第02弾,2016/8/1,児島駅観光案内所,岡山県倉敷市児島駅前1-107,電話：086-472-1289※児島駅観光案内所の営業時間外は、児島商工会議所で配布します児島商工会議所岡山県倉敷市児島駅前1-37 2階電話：086-472-4450,児島駅観光案内所9:00～17:30（昼休み12:00～13:00）ただし、12月29日～1月3日はお休みです※児島駅観光案内所の営業時間外は、児島商工会議所で配布します児島商工会議所【平日】8：30～17：00ただし、土日、祝日、年末年始（12月29日〜1月3日)、イベント時はお休みです※児島商工会議所の営業時間外（年末年始を除く土日・祝日9時～18時）は同所在地1階の児島産業振興センターにて配布,133.80533 : 34.46421,,,,
倉敷市（C001）,第06弾,2017/12/9,旧柚木家住宅（西爽亭）きゅう ゆのきけ じゅうたく（さいそうてい）,岡山県倉敷市玉島3丁目8-25,電話：086-522-0151※旧柚木家住宅（西爽亭）の休館日は下記にて配布します新倉敷駅観光案内所岡山県倉敷市玉島爪崎390-4 JR新倉敷駅構内2階電話:086-526-8446,9:00～17:00休館日：毎週月曜日（月曜日が祝日にあたるときは開館し，その日後の最も近い祝日でない日を休館する）・12月28日～1月4日・その他新倉敷駅観光案内所（旧柚木家住宅（西爽亭）の休館日）9:00～17:30（昼休み12:00～13:00）ただし、12月29日～1月3日はお休みです。,133.67197 : 34.54156,,,,
倉敷市(D001),第12弾,2020/4/25,【月～金】水島臨海鉄道水島駅【土・日曜日、祝日】水島臨海鉄道倉敷市駅,【月～金】水島駅岡山県倉敷市水島東千鳥町　10-1【土・日曜日、祝日】岡山県倉敷市阿知　1-1-2,【月～金】記載無し【土・日曜日、祝日】(問合せ先)水島臨海鉄道株式会社本店086-446-0931,【月～金】10：30～13：00、14：00～ 19：00ただし、土・日曜日・祝日と12月29日〜１月３日はお休みです【土・日曜日、祝日】7：00～17：0012月29日～1月3日と土・日曜日、祝日も配布します,133.741276 : 34.529223,133.765117 : 34.601053,,,
倉敷市(E001),第16弾,2022/1/15,ホテル　グラン・ココエ倉敷　３階フロント,岡山県倉敷市阿知3丁目９番1号,電話：086-436-7300,6：00～14：00（年中無休）,133.76721 : 34.59965,,,,
津山市,第11弾,2019/12/14,津山観光センター（津山市観光協会）,岡山県津山市山下97-1,電話：0868-22-3310(問合せ先)津山市都市建設部下水道課電話：0868-32-2100,【4～9月】9:00～18:00【1/2、1/3】10:00～16:00【10～翌年3月】9:00～17:00ただし、12/29～1/1はお休みです,134.00565 : 35.06099,,,,
笠岡市,第6弾,2017/12/9,笠岡市カブトガニ博物館,岡山県笠岡市横島1946-2,電話：0865-67-2477（問い合わせ先）笠岡市上下水道部 下水道課電話：0865-69-2142,9：00～16：30ただし、毎週月曜日（祝日の場合はその翌日）、年末年始はお休みです詳細は左記施設HPの「休館日」をご確認ください,133.52155 : 34.47886,,,,
井原市,第23弾,2024/7/26,美星天文台,岡山県井原市美星町大倉1723番地70,（問合せ先）井原市観光交流課電話:0866-62-8850,【火・水曜日】9：30～16：00【金・土・日・月曜日】13：45～16：00、18：00～22：00※入館は21：30までただし、毎週木曜日、祝日の翌日、 年末年始（12月29日～1月3日）はお休みです,133.55208 : 34.67199,,,,
高梁市,第19弾,2023/4/28,武家屋敷　旧折井家,岡山県高梁市石火矢町23-2,電話:0866-22-1480（問合せ先）（一社）高梁市観光協会電話:0866-21-0461,【4月～9月】10:00～17:00【10月～3月】10:00～16:00ただし、年末年始（12月29日～1月3日）はお休みです,133.61842 : 34.79917,,,,
新見市,第14弾,2021/4/25,【通常】一般社団法人　新見市観光協会【定休日】ＪＲ新見駅,【通常】岡山県新見市西方472-10【定休日】岡山県新見市西方471,電話:0867-72-1177,9：00～17：00ただし、定休日（水曜日（祝日の場合には翌平日））及び年末年始はお休みです【定休日】9：00～17：00（年末年始を含む）,133.4566 : 34.98709,133.4325 : 34.98786,,,
瀬戸内市（A001）,第5弾,2017/8/1,【通常】瀬戸内市立美術館【休館日】瀬戸内市役所 牛窓支所窓口,【通常】岡山県瀬戸内市牛窓町牛窓4911【休館日】岡山県瀬戸内市牛窓町牛窓4911,【通常】電話：0869-34-3130【休館日】（問い合わせ先）瀬戸内市上下水道部 下水道課電話：0869-22-5151,【開館日】9：00～17：00（入館は16：30まで）【休館日】牛窓支所窓口8：30～17：15ただし、年末年始はお休みです※休館日は毎週月曜日（祝日が月曜日の場合はその翌日）、祝日の翌日、展示替時です。そのほか臨時休館日もございますので、事前にHPをご確認ください,134.15912 : 34.6283,134.15912 : 34.6283,,,
瀬戸内市（B001）,第8弾,2018/8/11,【通常】備前おさふね刀剣の里【休館日】瀬戸内市役所長船支所窓口,【通常】岡山県瀬戸内市長船町長船966【休館日】岡山県瀬戸内市長船町土師291,【通常】電話：0869-66-7767【休館日】（問い合わせ先）瀬戸内市上下水道部下水道課電話：0869-22-5151,【開館日】9:00～16:30【休館日】長船支所窓口8：30～17：15ただし、年末年始はお休みです※休館日は毎週月曜日（祝日が月曜日の場合はその翌日）、祝日の翌日、展示替時です。そのほか臨時休館日もございますので、事前にHPをご確認ください,134.10434 : 34.72086,134.11166 : 34.69297,,,
真庭市,第15弾,2021/8/17,GREENable　HIRUZEN（グリーナブル　ヒルゼン）,岡山県真庭市蒜山上福田1205番地220,電話：0867-66-3220（問合せ先）真庭市建設部上下水道課電話：0867-42-1108,9：00～17：00ただし、水曜日（祝日の場合には翌平日）はお休みです,133.62685 : 35.30988,,,,
美作市(A001),第17弾,2022/8/6,湯郷温泉旅館協同組合,岡山県美作市湯郷323-2,電話：0868-72-2636(問合せ先)美作市役所都市整備部下水道課電話：0868-72-6700,9：00～18:00年中無休,134.13615 : 34.99335,,,,
美作市(B001),第24弾,2024/12/20,岡山県美作ラグビー・サッカー場,岡山県美作市入田436-3,（問合せ先）美作市役所都市整備部下水道課電話:0868-72-6700,8：30～17：00ただし、毎週火曜日、祝日の翌日、年末年始はお休みです,134.13831 : 35.00333,,,,
早島町,第10弾,2019/8/7,早島町町民総合会館「ゆるびの舎」,岡山県都窪郡早島町前潟370-1番地,（問い合わせ先）早島町上下水道課電話：086-482-0617,8:30～17:00ただし、毎週月曜日（月曜日が祝日の場合は次の平日）、年末年始（12/28～1/4）はお休みです,133.828 : 34.6017,,,,
里庄町,第18弾,2023/1/28,里庄つばきの丘運動公園 管理棟,岡山県浅口郡里庄町大字里見2392番地,電話：0865-64-7266(問合せ先)里庄町役場上下水道課電話：0865-64-3115,8:30～17:30ただし、年末年始（12月29日～1月3日）はお休みです,133.56142 : 34.5234,,,,
矢掛町(A001),第05弾,2017/8/1,やかげ町家交流館,岡山県小田郡矢掛町矢掛2639,電話：0866-63-4446（問い合わせ先）矢掛町役場 上下水道課電話：0866-82-0173,10：00～18：00ただし、年末年始（12/30～1/2）はお休みです,133.59779 : 34.63168,,,,
矢掛町(B001),第14弾,2021/4/25,矢掛ビジターセンター問屋（といや）,岡山県小田郡矢掛町矢掛1989,電話:0866-83-0001（問い合わせ先）矢掛町役場 上下水道課電話：0866-82-0173,9:00～17：00ただし、年末年始（12月30日～1月2日）はお休みです,133.59201 : 34.62449,,,,
新庄村,第8弾,2018/8/11,咲蔵家.（さくらや）,岡山県真庭郡新庄村1143-4,電話：0867-56-7550（問い合わせ先）新庄村 産業建設課下水道係電話：0867-56-2628,9：00～17：00,133.56764 : 35.17937,,,,
鏡野町,第10弾,2019/8/7,鏡野町物産館　夢広場,岡山県苫田郡鏡野町円宗寺233,電話：0868-54-4001,9:00～19:00ただし、木曜日はお休みです,133.94269 : 35.09979,,,,
勝央町,第24弾,2024/12/20,【平日】勝央町役場総務部窓口【土日祝日】勝央図書館,【平日】岡山県勝田郡勝央町勝間田201【土日祝日】岡山県勝田郡勝央町勝間田207-4,【平日】電話:0868-38-3111【土日祝日】電話:0868-38-0250（問合せ先）勝央町役場総務部元気なまち推進室電話:0868-38-3111,【平日】8：30～17：15ただし、閉庁日、土日祝日はお休みです【土日祝日】10：00～18：00ただし、図書館の休館日はお休みです,134.11574 : 35.04179,134.11583 : 35.04245,,,
奈義町,第16弾,2022/1/15,多世代交流広場ナギテラス,岡山県勝田郡奈義町豊沢314番地,電話：0868-36-7311(問合せ先)奈義町地域整備課電話：0868-36-4115,9:00～17:00ただし、月曜日（祝日の場合は翌日）はお休みです,134.17488 : 35.12462,,,,
久米南町,第9弾,2018/12/14,道の駅くめなん,岡山県久米郡久米南町下ニケ1367-1,（問い合わせ先）久米南町役場　建設水道課電話：086-728-2117,10:00～16:00（土日祝日は10:00～17:00）ただし、毎週火曜日、年末年始（12/30～1/2）はお休みです。,133.95094 : 34.91772,,,,
吉備中央町,第13弾,2020/12/17,【平日】吉備中央町吉川支所（きびプラザ内）【休日】ロマン高原かよう総合会館,【平日】岡山県加賀郡吉備中央町吉川4860-6【休日】岡山県加賀郡吉備中央町豊野1-2,【平日】電話：0866-56-9377【休日】電話：0866-54-1301,【平日】8：30～17：15【休日】8：30～17：15ただし、第三日曜日、祝日、年末年始はお休みです,133.75778 : 34.83234,133.71082 : 34.88288,,,
広島県（流域下水道）,第2弾,2016/8/1,広島県芦田川流域下水道浄化センター,広島県福山市箕沖町106,電話：084-954-2733,【平日】9：00～17：00【休日】13：00～16：00（要　電話予約）※休日（土日、祝日、年末年始（12/29～1/3））に配布をご希望される方は、平日（9：00～17：00）に電話予約（084-954-2733）をお願いします,133.42427 : 34.4339,,,,
広島市(A001),第01弾,2016/4/1,大州雨水貯留池,広島県広島市南区南蟹屋2-3,（問い合わせ先）下水道管理部 維持課広島県広島市中区南千田東町7-1電話：082-241-9223,大州雨水貯留池を見学された方に配布します見学希望の方は、こちらからお申し込みください,132.48438 : 34.39187,,,,
広島市(B001),第18弾,2023/1/28,広島駅総合案内所,広島県広島市南区松原町2-37JR広島駅・新幹線口構内２階,電話：082-263-5120,6：00～24：00（年中無休）,132.47514 : 34.39688,,,,
広島市(C001),第19弾,2023/4/28,広島市平和記念公園レストハウス,広島県広島市中区中島町1番1号,電話:082-247-6738,年中無休8：30～17：00（12月1日～翌2月末日まで）8：30～18：00（3月1日～11月30日）8：30～19：00（8月、ただし8月5日は20：00まで）7：30～20：00（8月6日）,132.45097 : 34.39223,,,,
広島市(D001),第20弾,2023/7/28,広島港総合案内所,広島県広島市南区宇品海岸一丁目13-26 広島港宇品旅客ターミナル１階,電話:082-207-2010,9：00～16：00（年中無休）,132.45296 : 34.35329,,,,
広島市(E001),第22弾,2024/4/26,広島駅南口地下広場案内所,広島県広島市南区松原町9番地先（広島駅南口地下広場）,（問合せ先）広島市下水道局経営企画課電話:082-504-2265,9：00～19：00ただし、1月1日はお休みです,132.47386 : 34.39642,,,,
広島市(F001),第23弾,2024/7/26,広島市中央老人福祉センター,広島県広島市中区西白島町24－36,電話:082-222-6000,9:00～17:00ただし、毎週火曜日、敬老の日を除く祝祭日、8月6日・12月29日～1月3日はお休みです,132.458149 : 34.405502,,,,
広島市(G001),第24弾,2024/12/20,広島市三篠公民館,広島県広島市西区打越町10番23号,電話:082-237-3077,9：00～17：00ただし、毎週火曜日、祝祭日（火曜日に当たるときは、その直後の休日でない日）、8月6日、12月29日～1月3日はお休みです,132.44966 : 34.41151,,,,
呉市（A001）,第5弾,2017/8/1,呉市入船山記念館,広島県呉市幸町4-6,電話：0823-21-1037（問い合わせ先）呉市上下水道局 経営企画課電話：0823-26-1604,9：00～17：00ただし、火曜日（祝日の場合は翌日休館）、年末年始（12/29～1/3）はお休みです,132.56372 : 34.24041,,,,
呉市（B001）,第5弾,2017/8/1,街かど市民ギャラリー90（くれ）,広島県呉市中通3-3-17,電話：0823-36-3902(問い合わせ先)呉市上下水道局 経営企画課電話：0823-26-1604,10：00～17：30ただし、火曜日、年末年始はお休みです,132.56491 : 34.24621,,,,
竹原市（A001）,第05弾,2017/8/1,たけはら　海の駅　1階売店,広島県竹原市港町4丁目2番24号,電話：0846-24-6100,8：30～19：00ただし、毎月第3火曜日、12月31日～1月3日はお休みです,132.91588 : 34.33335,,,,
竹原市（B001）,第10弾,2019/8/7,道の駅たけはら　２階　観光情報コーナー,広島県竹原市本町1丁目1番1号,電話：0846-23-5100,9:00～17:00ただし、第３水曜日，年始年末はお休みです。,132.91193 : 34.34421,,,,
三原市（A001）,第4弾,2017/4/3,うきしろロビー,広島県三原市城町1-1-1（ＪＲ三原駅構内 観光案内所）,電話：0848-67-5877（問い合わせ先）三原市下水道整備課電話：0848-67-6124,9：00～18：00ただし、年末年始（12/29～1/3）はお休みです,133.08333 : 34.40064,,,,
三原市（B001）,第6弾,2017/12/9,道の駅 みはら神明の里,広島県三原市糸崎4-21-1（道の駅1階 物産品販売コーナーレジ）,電話：0848-63-8585（問い合わせ先）三原市下水道整備課電話：0848-67-6124,9：00～18：00ただし、第3火曜日はお休みです,133.10428 : 34.39701,,,,
福山市,第17弾,2022/8/6,福山観光案内所,広島県福山市三之丸町30-１ JR福山駅構内,電話：084-922-2869,9：00～18：30,133.36214 : 34.48941,,,,
府中市,第21弾,2023/12/15,（一社）府中市観光協会,広島県府中市府中町559-2,電話:0847-43-7135,9：00～17：30ただし、年末年始（１２月２９日～１月３日）はお休みです,133.23357 : 34.57572,,,,
東広島市（A001）,第3弾,2016/12/1,東広島市観光案内所,広島県東広島市西条本町12-3（JR西日本西条駅2階）,電話：082-430-7701,9：00～18：00ただし、年末年始はお休みです,132.74352 : 34.43042,,,,
東広島市（B001）,第9弾,2018/12/14,【平日】豊栄支所地域振興課【土日】とよさか四季菜館,【平日】広島県東広島市豊栄町鍛冶屋963-2【土日】広島県東広島市豊栄町鍛冶屋841-2,【平日】電話：082-432-2211【土日】電話：082-432-4520(問い合わせ先)東広島市下水道部下水道管理課電話：082-420-0957,【平日】8：30～17：15祝祭日・年末年始（12/29～1/3）はお休みです【土日】7：30～17：00,132.82687 : 34.56486,132.82687 : 34.56486,,,
廿日市市,第7弾,2018/4/28,廿日市市中央市民センター,広島県廿日市市天神11-29,電話：0829-20-1266,9：00～17：00ただし、祝日、年末年始（12/29～1/3）はお休みです,132.33794 : 34.35501,,,,
安芸高田市,第12弾,2020/4/25,道の駅三矢の里あきたかた(安芸高田市観光協会),広島県安芸高田市吉田町山手1059-1,電話:0826-47-2550,10：00～17：00ただし、火曜日、年末年始（12/31～1/4）はお休みです,132.66937 : 34.65548,,,,
安芸高田市(B001),第13弾,2020/12/17,道の駅北の関宿安芸高田,広島県安芸高田市美土里町横田331-1,電話：0826-57-1657,9:00～18:00,132.66136 : 34.72134,,,,
安芸高田市(C001),第14弾,2021/4/25,神楽門前湯治村 「かむくら座」,広島県安芸高田市美土里町本郷4627,電話:0826-54-0888,10：00～17：00（年中無休）ただし、毎月第3水曜日・翌木曜日はお休みです,132.61255 : 34.71516,,,,
熊野町,第24弾,2024/12/20,熊野町観光案内所 筆の駅,広島県安芸郡熊野町出来庭十丁目6番24号,電話:082-855-1123,10:00～16:00ただし、毎週水曜日（祝日の場合は開館）、第3日曜日、年末年始、盆はお休みです,132.56563 : 34.33311,,,,
坂町,第7弾,2018/4/28,坂町町民センター,広島県安芸郡坂町平成ヶ浜1-1-1,電話：082-820-1515,【平日】8：20～21：30【休日】8：30～17：00ただし、毎週月曜日、祝日、年末年始（12/27～1/4）はお休みです,132.51349 : 34.34115,,,,
下関市(A001),第8弾,2018/8/11,長府観光会館,山口県下関市長府侍町二丁目1-15,電話：083-246-1120（問い合わせ先）下関市上下水道局 企画総務課電話：083-231-8754,9：00～17：00,130.99045 : 33.99645,,,,
下関市(B001),第13弾,2020/12/17,長府庭園,山口県下関市長府黒門東町8番11号,電話：083-246-4120（問合せ先）下関市上下水道局企画総務課電話：083-231-8754,9:00～17:00ただし、12/28～1/4はお休みです,130.98938 : 33.99048,,,,
宇部市(A001),第10弾,2019/8/7,ときわ湖水ホール,山口県宇部市大字沖宇部254,電話：0836-51-7057(問い合わせ先）宇部市 土木建設部 下水道経営課電話：0836-21-2191,9:00～17:00ただし、年末年始（12/29～1/2）はお休みです,131.28804 : 33.94814,,,,
宇部市(B001),第16弾,2022/1/15,多世代交流スペース 若者クリエイティブコンテナ,山口県宇部市中央町3-8-20,電話：0836-38-8825(問合せ先)宇部市 土木建設部 下水道経営課電話：0836-21-2191,多世代交流スペース 若者クリエイティブコンテナ：10:00～18:00ただし、祝日、お盆（8/11～8/18）、年末年始（12/29～1/6）はお休みです。,131.241 : 33.95511,,,,
山口市（A001）,第03弾,2016/12/1,山口観光案内所,山口県山口市惣太夫町2-1（山口駅1階）,電話：083-933-0090,9：00～18：00（年中無休）,131.48093 : 34.17295,,,,
山口市（B001）,第04弾,2017/4/3,新山口駅観光交流センター,山口県山口市小郡令和1-2-6,電話：083-902-0037,9：00～18：00（年中無休）,131.39827 : 34.09458,,,,
山口市（C001）,第06弾,2017/12/9,湯田温泉観光案内所,山口県山口市湯田温泉2-1-23,電話：083-901-0150,9：00～18：00（年中無休）,131.45694 : 34.16429,,,,
山口市(D001),第22弾,2024/4/26,阿知須いぐらの館,山口県山口市阿知須3425,電話:0836-65-2403,10:00～16:00（休館日除く）ただし、水・木曜日（祝日の場合は翌日）、年末年始はお休みです,131.34351 : 34.01636,,,,
萩市,第11弾,2019/12/14,萩・明倫学舎,山口県萩市大字江向602番地,電話：0838-21-0304(問合せ先)萩市上下水道局総務課電話：0838-25-3152,9:00～17:00ただし、２月の第１火・水曜日はお休みです,131.39914 : 34.41003,,,,
防府市,第6弾,2017/12/9,防府市地域交流センター（アスピラート） １階事務室,山口県防府市戎町1-1-28,電話：0835-26-5151,9：00～17：00休館日：毎週火曜日及び年末年始（12/29～1/3）ただし、火曜日が祝日にあたるときはその翌日,131.56931 : 34.05379,,,,
下松市(A001),第3弾,2016/12/1,【平日】下松市上下水道局 窓口【土日、祝日】下松市観光協会案内所,【平日】山口県下松市大手町3-3-2（上下水道局２階）【土日、祝日】山口県下松市西豊井1247(下松駅南口),【平日】電話：(0833)41-2150【土日、祝日】電話：(0833)45-6911,【平日】8：30〜17：15ただし、土日、祝日及び年末年始（１２月２９日～１月３日）はお休みです【土日、祝日】9：00〜16：30ただし、月、木曜日（祝日の場合は振替）及び年末年始（１２月２９日～１月３日）はお休みです,131.86987 : 34.01464,131.87376 : 34.01401,,,
下松市(B001),第11弾,2019/12/14,【月・木以外】下松市観光協会案内所【月・木・閉館日】下松市上下水道局　窓口,【月・木以外】山口県下松市西豊井1247(下松駅南口)【月・木・閉館日】山口県下松市大手町3-3-2（上下水道局２階）,【月・木以外】電話：(0833)45-6911※ただし、月・木が祝日の場合は開館しますのでご注意ください【月・木・閉館日】電話：(0833)41-2150,【月・木以外】9：00〜16：30ただし、月、木曜日（祝日の場合は振替）及び年末年始（１２月２９日～１月３日）はお休みです【月・木・閉館日】8：30〜17：15ただし、土日、祝日及び年末年始（１２月２９日～１月３日）はお休みです,131.87376 : 34.01401,131.86987 : 34.01464,,,
岩国市(A001),第10弾,2019/8/7,岩国市観光交流所本家 松がね,山口県岩国市岩国1丁目7-3,電話：0827-28-6600,9:00～17：00（4月～8月は18：00まで）,132.17938 : 34.1658,,,,
岩国市(B001),第23弾,2024/7/26,岩国市英語交流センター「PLAT　ABC」,山口県岩国市元町1丁⽬1番1号 レジデンス岩国駅東1階,電話:0827-28-5313,9:00～19:00ただし、火曜日はお休みです,132.203763 : 34.164475,,,,
柳井市,第23弾,2024/7/26,柳井市観光協会,山口県柳井市柳井3714-1,電話:0820-23-3655,【平日】9：00～17：00【土日】9：00～16：00,132.10574 : 33.97117,,,,
山陽小野田市,第12弾,2020/4/25,【通常】歴史民俗資料館【休館日】山陽小野田市役所 建設部下水道課,【通常】山口県山陽小野田市栄町9-21【休館日】山口県山陽小野田市日の出1-1-1,【通常】電話:0836-83-5600【休館日】電話:0836-82-1164(問合せ先)山陽小野田市役所 建設部下水道課0836-82-1164,9:00～17:00ただし、月曜日（祝日の場合は翌平日も休館）・祝日（土曜日の場合は開館、月曜日を除く翌平日が休館）、年末年始（12/27～1/5）はお休みです※ただし、祝日は市役所も配布しません※歴史民俗資料館の開館日はこちらをご確認ください,131.17599 : 33.99084,131.1815 : 34.00325,,,
